num, ref
4042441, 8210
4042442, 5246
4042443, 2860
4042444, 9185
4042445, 9945
4042446, 9990
4042447, 2652
4042448, 6211
4042449, 7999
4042450, 6894
4042451, 6479
4042452, 9817
4042453, 7198
4042454, 290
4042455, 9043
4042456, 9048
4042457, 9047
4042458, 9051
4042459, 9062
4042460, 9069
4042461, 9111
4042462, 9125
4042463, 9139
4042464, 7476
4042465, 5601
4042466, 5602
4042467, 5603
4042468, 5604
4042469, 8236
4042470, 7435
4042471, 1655
4042472, 5605
4042473, 5606
4042474, 5607
4042475, 5608
4042476, 5609
4042477, 5610
4042478, 9423
4042479, 3323
4042480, 2862
4042481, 871
4042482, 3257
4042483, 7727
4042484, 6224
4042485, 74
4042486, 890
4042487, 2417
4042488, 1674
4042489, 915
4042490, 5611
4042491, 5613
4042492, 5614
4042493, 5615
4042494, 5616
4042495, 5617
4042496, 8958
4042497, 9818
4042498, 2865
4042499, 4351
4042501, 4246
4042502, 4444
4042503, 3212
4042504, 7842
4042505, 1117
4042506, 6895
4042507, 7891
4042508, 5618
4042509, 3590
4042510, 5620
4042511, 5621
4042512, 5623
4042513, 6885
4042514, 3651
4042515, 9424
4042516, 108
4042517, 4728
4042518, 9820
4042519, 2705
4042520, 4335
4042521, 5727
4042522, 6480
4042523, 304
4042524, 2869
4042525, 9582
4042526, 7814
4042527, 3447
4042528, 9237
4042529, 9514
4042530, 7668
4042531, 5624
4042532, 5625
4042533, 5626
4042534, 5627
4042535, 5628
4042536, 5629
4042537, 9666
4042538, 683
4042539, 9092
4042540, 5716
4042541, 6656
4042542, 6432
4042543, 6896
4042544, 6152
4042545, 8785
4042546, 7737
4042547, 9844
4042548, 5728
4042549, 5101
4042550, 5630
4042551, 5631
4042552, 5632
4042553, 5633
4042554, 5634
4042555, 5635
4042556, 5636
4042557, 3924
4042558, 1788
4042559, 3132
4042560, 2777
4042561, 4333
4042562, 5739
4042563, 9821
4042564, 2358
4042565, 9808
4042566, 9809
4042567, 9810
4042568, 8777
4042569, 8510
4042570, 9426
4042571, 6351
4042572, 6353
4042573, 6354
4042574, 6355
4042575, 6356
4042576, 6357
4042577, 6359
4042578, 6360
4042579, 6362
4042580, 6363
4042581, 6364
4042582, 6365
4042583, 6366
4042584, 6367
4042585, 6368
4042586, 6369
4042587, 6370
4042588, 6235
4042589, 5637
4042590, 5638
4042591, 5639
4042592, 5640
4042593, 5641
4042594, 5642
4042595, 5116
4042596, 6606
4042597, 129
4042598, 6897
4042599, 329
4042600, 6481
4042601, 540
4042602, 4352
4042603, 7158
4042604, 5871
4042605, 4445
4042606, 8752
4042607, 7868
4042608, 3258
4042609, 4901
4042610, 916
4042611, 216
4042612, 350
4042613, 6430
4042614, 7461
4042615, 3726
4042617, 3790
4042618, 3789
4042619, 3788
4042620, 3787
4042621, 3786
4042622, 3785
4042623, 3784
4042624, 5643
4042625, 5644
4042626, 5645
4042627, 5646
4042628, 5648
4042629, 5649
4042630, 59
4042631, 717
4042632, 6898
4042633, 2888
4042634, 1258
4042635, 8821
4042636, 1656
4042637, 993
4042638, 385
4042639, 139
4042640, 988
4042641, 6746
4042642, 2121
4042643, 6668
4042644, 3939
4042645, 5214
4042646, 7669
4042647, 2054
4042648, 5650
4042649, 5651
4042650, 5652
4042651, 5653
4042652, 5654
4042653, 5655
4042654, 8666
